2021-10-04 12:49:35.479 +06:00 [INF] Application Starting up
2021-10-04 12:49:43.168 +06:00 [INF] Worker running at: "2021-10-04T12:49:43.1587114+06:00"
2021-10-04 12:50:45.069 +06:00 [INF] Worker running at: "2021-10-04T12:50:45.0692098+06:00"
2021-10-04 12:51:45.152 +06:00 [INF] Worker running at: "2021-10-04T12:51:45.1524970+06:00"
2021-10-04 12:52:45.172 +06:00 [INF] Worker running at: "2021-10-04T12:52:45.1720332+06:00"
2021-10-04 12:53:45.206 +06:00 [INF] Worker running at: "2021-10-04T12:53:45.2060960+06:00"
2021-10-04 12:54:45.225 +06:00 [INF] Worker running at: "2021-10-04T12:54:45.2257492+06:00"
2021-10-04 12:55:45.312 +06:00 [INF] Worker running at: "2021-10-04T12:55:45.3123808+06:00"
2021-10-04 12:56:45.857 +06:00 [INF] Worker running at: "2021-10-04T12:56:45.8576164+06:00"
2021-10-04 12:57:45.872 +06:00 [INF] Worker running at: "2021-10-04T12:57:45.8724209+06:00"
2021-10-04 12:58:45.912 +06:00 [INF] Worker running at: "2021-10-04T12:58:45.9126054+06:00"
2021-10-04 12:59:45.944 +06:00 [INF] Worker running at: "2021-10-04T12:59:45.9444671+06:00"
2021-10-04 13:00:45.968 +06:00 [INF] Worker running at: "2021-10-04T13:00:45.9683323+06:00"
2021-10-04 13:01:45.999 +06:00 [INF] Worker running at: "2021-10-04T13:01:45.9994468+06:00"
2021-10-04 13:02:46.046 +06:00 [INF] Worker running at: "2021-10-04T13:02:46.0463748+06:00"
2021-10-04 13:03:46.187 +06:00 [INF] Worker running at: "2021-10-04T13:03:46.1873246+06:00"
2021-10-04 13:04:46.227 +06:00 [INF] Worker running at: "2021-10-04T13:04:46.2277048+06:00"
2021-10-04 13:05:46.251 +06:00 [INF] Worker running at: "2021-10-04T13:05:46.2518003+06:00"
2021-10-04 13:06:46.286 +06:00 [INF] Worker running at: "2021-10-04T13:06:46.2866905+06:00"
2021-10-04 13:07:46.312 +06:00 [INF] Worker running at: "2021-10-04T13:07:46.3122883+06:00"
2021-10-04 13:08:46.332 +06:00 [INF] Worker running at: "2021-10-04T13:08:46.3325608+06:00"
2021-10-04 13:09:46.354 +06:00 [INF] Worker running at: "2021-10-04T13:09:46.3549268+06:00"
2021-10-04 13:10:46.370 +06:00 [INF] Worker running at: "2021-10-04T13:10:46.3705249+06:00"
2021-10-04 13:11:46.383 +06:00 [INF] Worker running at: "2021-10-04T13:11:46.3835787+06:00"
2021-10-04 13:12:46.402 +06:00 [INF] Worker running at: "2021-10-04T13:12:46.4023072+06:00"
2021-10-04 13:13:46.438 +06:00 [INF] Worker running at: "2021-10-04T13:13:46.4385265+06:00"
2021-10-04 13:14:46.463 +06:00 [INF] Worker running at: "2021-10-04T13:14:46.4630157+06:00"
2021-10-04 13:15:46.517 +06:00 [INF] Worker running at: "2021-10-04T13:15:46.5176447+06:00"
2021-10-04 13:16:46.532 +06:00 [INF] Worker running at: "2021-10-04T13:16:46.5329549+06:00"
2021-10-04 13:17:46.581 +06:00 [INF] Worker running at: "2021-10-04T13:17:46.5816677+06:00"
2021-10-04 13:18:46.613 +06:00 [INF] Worker running at: "2021-10-04T13:18:46.6134411+06:00"
2021-10-04 13:19:46.632 +06:00 [INF] Worker running at: "2021-10-04T13:19:46.6323020+06:00"
